Rotation,PartGroup,Part_Number,Supplier,Location Pick,Model,Date,Time
0011,GROUP 06L,N1WB-13E015-DF,TK,PH-01,U704,30/01/2026,08:19:30
0011,GROUP 06R,N1WB-13E014-DF,TK,PG-01,U704,30/01/2026,08:19:30
0011,GROUP 07,RB3T-14A005-UDEC,SEWT,PB-12,U704,30/01/2026,08:19:30
0011,LOT,PB3T-2B325-UDE,SEWT,LD-01,U704,30/01/2026,08:19:30
0011,GROUP 09R,N1VB-16450-AC,ARK,PF-03,U704,30/01/2026,08:19:30
0011,GROUP 09L,N1VB-16451-AC,ARK,PF-04,U704,30/01/2026,08:19:30
0011,GROUP 10,N1VB-E044D70-HHSMZ8,SI,PI-02-2,U704,30/01/2026,08:19:30
0011,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,U704,30/01/2026,08:19:30
0011,GROUP 11,N1VB-E045B58-HMSMZ8,SI,PX-SPECIAL,U704,30/01/2026,08:19:30
0012,GROUP 01,RB3T-14290-REMC,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:21:27
0012,GROUP 07,RB3T-14A005-CCXC,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:21:27
0012,GROUP 01,P1WT-14630-GCF,SEWT,PA-24-2,P703,30/01/2026,08:21:27
0012,GROUP 01,P1WT-14631-ADF,SEWT,PA-23-4,P703,30/01/2026,08:21:27
0012,GROUP 01,P1WT-14632-DAF,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:21:27
0012,GROUP 01,P1WT-14633-DAE,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:21:27
0012,GROUP 02,RB3T-14405-EMC,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:21:27
0012,GROUP 02,PB3T-2B572-ZZF,SEWT,PX-DS,P703,30/01/2026,08:21:27
0012,LOT,MB3T-14301-AF,SEWT,LD-01,P703,30/01/2026,08:21:27
0012,LOT,PB3T-14B060-RAF,SEWT,LD-01,P703,30/01/2026,08:21:27
0012,GROUP 03,PB3T-7C078-PBD,SEWT,PC-21-2,P703,30/01/2026,08:21:27
0012,GROUP 04,R1WT-14401-PDNC,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:21:27
0012,GROUP 04,PB3B-2104545-FC,HAS,PD-03,P703,30/01/2026,08:21:27
0012,GROUP 05,N1WB-E13000-BL3JA6,HTT,PX-OBSOLETEPART,P703,30/01/2026,08:21:27
0012,GROUP 06L,N1WB-13E017-BH,TK,PH-04,P703,30/01/2026,08:21:27
0012,GROUP 06R,N1WB-13E016-BH,TK,PG-04,P703,30/01/2026,08:21:27
0012,GROUP 07,RB3T-14A005-CCXC,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:21:27
0012,LOT,PB3T-2B325-ATE,SEWT,LD-01,P703,30/01/2026,08:21:27
0012,GROUP 09R,N1WB-16450-CB,ARK,PE-01,P703,30/01/2026,08:21:27
